ECO_ID,Long,Lat,Area,Realm
60153,-74.85060451,-10.72547617,185961.86,NT
60154,-91.9872174,17.22761885,148595.45,NT
60155,-66.46596046,18.25538577,7504.11,NT
60156,-67.37711249,-4.106887508,176760.34,NT
60157,-63.52946399,-6.861567047,173261.42,NT
60158,-65.25532374,0.860999532,95986.14,NT
60159,-73.65475028,10.79569898,4765.53,NT
60160,-46.81152776,-24.61956287,104609.53,NT
60161,-94.96068559,18.33046511,3890.16,NT
60162,-91.96104841,14.96176609,11217.89,NT
60163,-71.25679371,-2.197067973,166931.16,NT
60164,-80.74409331,25.62975552,2070.85,NT
60165,-64.67697592,-23.30188543,75149.96,NT
60166,-70.23111227,-9.593449912,746652.66,NT
60167,-82.96950376,9.298777323,16274.44,NT
60168,-54.42910336,-5.904285503,335099.31,NT
60169,-64.29406155,4.772889504,50675.18,NT
60170,-47.43839745,-3.011631548,192765.86,NT
60171,-61.2436964,10.46064396,4721.99,NT
60172,-30.26270977,-20.49816874,9.26,NT
60173,-56.91352817,-0.318437282,470048.37,NT
60174,-75.96383831,-7.527393118,114442.96,NT
60175,-70.83889048,8.781155523,29268.9,NT
60176,-98.29307312,21.99110998,68946.35,NT
60177,-98.40380455,20.61280826,4942.45,NT
60178,-79.50051392,-0.355480585,33954.31,NT
60179,-61.19615523,14.36320675,2013.65,NT
60180,-50.86281603,-5.580528015,265072.05,NT
60181,-89.02180927,19.18249098,69481.98,NT
60182,-64.05487868,4.110128209,229835.8,NT
60201,-70.99283123,7.012462808,68245.46,NT
60202,-43.27594668,-12.45465856,114659.96,NT
60204,-102.06167,20.46198359,37383.69,NT
60205,-100.1564684,18.46279452,62246.6,NT
60206,-65.39523171,-18.86212229,72779.57,NT
60207,-76.05234906,4.766149702,7312.8,NT
60209,-87.48743988,13.27310121,67773.09,NT
60210,-62.73800415,-25.13953601,786789.52,NT
60211,-92.79628169,16.25602898,13973.63,NT
60212,-60.50898731,-16.11656473,229766.65,NT
60213,-78.87269436,21.66317149,65744.6,NT
60214,-80.23316692,-1.360274958,21187.13,NT
60215,-71.77659419,18.88065281,15445.86,NT
60216,-111.4139844,18.77350091,213.4,NT
60217,-104.2312547,19.57495035,26050.22,NT
60218,-77.41843485,18.04268428,2309.51,NT
60219,-69.18744142,10.91016456,16869.92,NT
60220,-61.39086672,13.38255294,907.01,NT
60221,-75.06613278,3.869349299,19548.73,NT
60222,-71.41965122,10.05932308,30084.59,NT
60223,-78.2976012,-6.359429173,11322.3,NT
60224,-80.28997315,8.161330239,5087.43,NT
60225,-77.19090887,1.890665981,2260.58,NT
60226,-66.53224681,18.03302733,1271.29,NT
60227,-109.9019208,23.5622709,3975.05,NT
60228,-106.5989746,24.30062787,77361.71,NT
60229,-74.05839757,10.08990039,24879.29,NT
60230,-97.4684017,16.63248921,42281.66,NT
60232,-80.18558029,-5.174337604,41100.18,NT
60233,-96.4208613,19.05605185,6615.68,NT
60235,-89.21653378,20.45155773,49623.17,NT
60301,-76.29080784,24.20060551,6869.81,NT
60302,-88.56468981,17.21300976,2821.95,NT
60303,-88.93510191,14.72654502,110941.51,NT
60304,-81.91433679,21.93075694,6404.75,NT
60305,-71.38226636,18.84786193,11560.04,NT
60306,-83.91311752,14.40858223,18853.77,NT
60307,-109.930056,23.44665888,1061.07,NT
60308,-96.27636384,17.29661141,14298.31,NT
60309,-98.92981188,17.37203886,60973.49,NT
60310,-101.1564089,19.82912685,92025.52,NT
60401,-79.55217148,-33.672957,145.86,NT
60402,-71.93882202,-51.59605759,164642.03,NT
60403,-79.962661,-26.32451237,6.49,NT
60404,-72.33324139,-40.87464832,248398.04,NT
60702,-65.48193911,-13.67759786,125589.14,NT
60703,-43.87196463,-19.09701156,26312.99,NT
60704,-49.77727442,-15.03988081,1910037.85,NT
60705,-109.221256,10.3011122,28.77,NT
60707,-59.08402363,3.107082316,104496.08,NT
60708,-58.67742204,-26.24119929,291590.23,NT
60709,-68.1419417,6.719347576,375786.54,NT
60710,-54.96777154,-31.55581071,352496.3,NT
60801,-62.98737749,-34.27261862,298734.72,NT
60802,-67.01104434,-38.30695159,353639.67,NT
